username,comment,date,rating
Richard Buckland,"Rip off. Even when it's working properly, the sound is stereo. This is 2019! When they went free to air it was 5.1! So the free transmission was better quality than the overpriced app. Also no way to easily rewind and replay, or fast forward thru the ads and rubbish discussions, only 20 seconds at a...Full Review","November 9, 2019",1
Richard Griffiths,"Well, it's good in the sense it's not sky, but I'm paying 90 dollars for a rugby world cup that should be free to air (not sparks fault directly) but is of patchy quality (my internet connection is fine, thanks) and it's coming loaded with tv ads and poor quality build up/post game analysis. Having ...Full Review","September 22, 2019",2
Danielle Campbell,"Not a great start at all. Rugby is like a religion in NZ. From the get-go, i went through your website, emails etc and did all that was required of me. I spent the Friday before RWC streaming a game. All was well. Until thattt ABs game. You stuffed it up. End of. Your service simply couldn't handle ...Full Review","September 24, 2019",2
Han Jroid,Pressed watch from the start and it flashed the current score before starting with the pregame coverage (which I have minimal interest in - I want to start from the start of the match). It took me a long time to find the start of the match and by the time I did and pressed cast it reverted back to t...Full Review,"September 28, 2019",1
Duncan Thomason,"Unwatchable. As other reviewers have noted, it's like watching still pictures that update every minute or so. It is the same on all devices, and in app and through browser. Can stream all other content providers but not spark. Disaster for spark, I will be asking for my subscription moment back if n...Full Review","September 21, 2019",1
Rita M,"Day 6 of RWC and I'm home from work trying to watch highlights and the app keeps failing, I have the app on my brand new TV but it keeps launching the ""we are having problems playing this right now, pls try again later"" BS! Nothing else at my end is affected, just Spark Sport app, soo not fair that ...Full Review","September 25, 2019",1
Troy Ahsin-Lemm,"What an absolute farce! Fixed must mean broken in Spark terms! Streaming Wales vs Georgia through the website and buffering still! So bad that started the stream early for the pre match and when I refreshed it, the feed went from the team's walking down the tunnel to kick off? No national anthems! S...Full Review","September 23, 2019",1
Jillian Taylor,"After a great start with no issues , when I tried to watch last nights Japan Ireland game and managed to get right thru to Spark sport via Chromecast but had no access to any games. Spent the next few hours with 4 live chatters , reset my password 3 times, logged out, logged in but then lost my opti...Full Review","September 29, 2019",2
Bruce Condliffe,"It is unwatchable with extensive buffering, despite my intermet download speed being 45mbps. Spark wants me to continually check other devices,. It is not on my TV but on my computer (updated , Cache cleared etc) so no HDMI connections to blame. Am giving up as spent so much time going back to them ...Full Review","October 8, 2019",1
Kieran,"No problems here, have had nothing but smooth sailing throughout the RWC - the one problem I had with a choppy stream was solved with a hard reset of my modem/router, so it was my connection at fault. As someone who streams other sports (e.g. NBA through league pass) I'm really impressed with the qu...Full Review","October 8, 2019",5
Michael Boskett-Barnes,"App on phone works great if you have a strong signal, Ability to cast to a larger screen, big problems, also devices with app set up big problems, test the free version first. There will be a big public relations disaster for Spark. Offer subscriptions with Sky TV, we know that works. Rural viewers ...Full Review","September 14, 2019",2
Chris Dews,"I have no issues with the quality of the streaming, but the app constantly refuses to load. Just sits on 'please wait'. I've cleared the cache, data, reinstalled, reset router. Every time the app updates I hope it's fixed the problem but no. So frustrating.","November 16, 2019",3
REG FORDER,"Looking at the reviews , your lucky people. I went with spark on the 11th sept to get the rugby. Im still waiting. I have had 8 appointments to set this up and have still not got the internet and cant even download the app on my phone even though I spent nearly an hour at Spark warkworth to sort it ...Full Review","October 1, 2019",1
Clyde McLeod,"Had problems during NZs 1st game. Then last Sat, after watching one game i could not connect again. I can connect thru another device, but it is not mine. Tremendously frustrated - the Help Desk is not well named. If i can't have access to the alternate device i will miss the ABs game. I regret buyi...Full Review","October 1, 2019",1
Kate&Em Wallace,"Not compatible with new TV. Casting via tablet results in a jerky and low quality picture. Thanks Spark, would need to move house and buy a new TV to watch the world cup. Making the world cup exclusive and impossible to watch for many is poor form. Hand back your Kiwi card. You have lost me as a cus...Full Review","September 21, 2019",1
patrick lambert,Being my previous reveiw was too kind. NEVER TOUCH THIS APP!!! Is slightly more apt of i could give 0 outa 5 i would. Not only is the app clunky and very user unfriendly. It also apparently region locked and if and when it works... if you can get it to work you may well get a completely different ga...Full Review,"October 3, 2019",1
Brendan Whytock,absolute waste of time and money.. picture freezes while commentary still running... can only watch half of 3 min goal highlight reel (saved in archives not even streaming).... message pops up.. we are having problems playing this right now please try again later. onUnknownError: source error.. WHAT...Full Review,"September 22, 2019",1
Henry T-Bags,"First match of the world cup was laggy and pixely as all hell, and I have high speed fiber, so all my other video/media apps stream perfectly. I had to shell out 70 bucks for this level of streaming quality?? Absolute garbage. I wish I could give this 0 stars. Sewage level app.","September 20, 2019",1
Andrew Martin,"If I could rate it zero stars I would... In a time where Netflix has set the bar for watching via stream, Spark Sport has fallen woefully short at the most horrendous time - RWC 2019. Spark is single handedly ruining this world cup for me. I have up and down speeds over 100mbps and the latest device...Full Review","October 8, 2019",1
Philip Roberts,The App just says 'Please connect to the internet'. 'I'm sure I was connected to the internet to download app. SO a really unhelpful message. Any suggestions? I've downloaded and uninstalled it twice... Discovered the issue . The app is not keen on my VPN.. so I've turned it off and good news it goe...Full Review,"September 20, 2019",4
gaz south,"Garbage So it worked ok, watched Japan vs Russia live, went to show the kids the replay in the morning, just get a frozen picture and sound in the background. Tried everything, clear the cache, delete the data, uninstall /reinstalled. Will be raining up to get get my $70 rugby world cup package refu...Full Review","September 21, 2019",1
David Elliott,"I contacted help.sparksport.co.nz The Spark helpdesk representative Lilly asked me for my phone model. I replied 'Samsung S7 Edge'. I was then asked to delete the app, restart my phone, install the app and try again. I received the same error message as before: ""Spark Sport Please connect to the int...Full Review","September 21, 2019",1
Neil Shirreffs,Terrible. Been watching all the old content for the past few months no problem. On the night of the opening game I get a message content only avaliable to NZ based customers. Which I am. What a waste of money. Thanks for nothing.,"September 20, 2019",1
Ben Wisbey,"Some days it works, some days it doesn't. Streaming to Chromecast, or using the slider to change where you want to watch, doesn't work well. Seems like an alpha version that you pay for","September 29, 2019",1
Richard Murphy,Unable to watch videos. All works fine from PC but android app doesn't do anything when try to watch a pre-recorded video. Accessing Spark via Chrome on Android is useless as well as it won't let you watch anything even if you have the View Desktop Site checked.,"September 19, 2019",1
Ross Bennett,"The worst. Every single time it freezes, it's incredibly disruptive for watching any games. I uninstalled and reinstalled 3 times in one evening to just try and get it to go. For what you pay for the streaming service it is an utter disgrace","September 28, 2019",1
dallen lee,"Good app and getting better but i wish it knew that id already bought the world cup tournament pass and therefore would ask me to buy it every time. Also, the overlay which includes pause and scrubbing etc needs to vanish much sooner after touching the screen. Maybe 2 seconds?","September 12, 2019",4
Vinny Reyland,Terrible experience of the rugby world cup from the first game to the last game. Glad sky sport has wrapped up rugby rights for the next 5 years.,"November 2, 2019",1
Tim Stanton,"Installed on a Samsung Note 8 with all the latest software/firmware. App would just sit there for an eternity loading. Tried a few things like restarting phone and mobile data instead of wifi, but same result each time.","September 23, 2019",1
Jack Edwards,"Often freezes and won't go full screen without turning black on my phone. Programmes often posted hours later (premier league review) than when they aired on sky. Terrible streaming service, wish sky had the rights to the sports still.","October 7, 2019",1
Graham Humphreys,Got the app for Epl. So far pretty good. At work it occasionally closed down telling me I had to be in NZ to view Spark sport. Lots of issues streaming Epl through the Spark spork website. The app is more stable. Hope it copes with the added interest in the rugby soon.,"September 20, 2019",4
Andy Hoey,It loads and crashes and it has no search function? Impossible to find videos. It's a mess. At least structure videos with groups based on match dates for tournament types and dates. Simple fix,"October 3, 2019",1
Gerald Carter,Amazing improvement in this app. Video was stable and did not drop out. You can rewind live matches or pause them and re start at the same point. No obtrusive ads while the match was broadcast.Overall a good experience.,"September 21, 2019",5
Adam,"If you start watching a live game from the beginning, the app briefly shows the current action and score, ruining the experience. Happened to me on iOS and Android.","September 21, 2019",2
Barry Patterson,"Basically pleased with the app and the website interface. Plays well on my pc's, Chromecast and the Panasonic TV app. Only problem nothing plays on my Samsung J5 Pro since it upgraded to Android 9. Cheers Sparklers!","November 2, 2019",4
Ryan Smith,"I have not had the outages that some have described. I have good fibre and good internal wifi though. Some quality issues during the first few RWC matches, but the recent ones have worked flawlessly.","September 30, 2019",5
Sam Wootton,"When it worked it was fine. Since I updated to android 10 (Q) on my Pixel 2XL it's totally broken. No video will play, at all. Logout, uninstall, reinstall, clearing cache all haven't worked. Any ideas spark?","October 8, 2019",1
numcrun,"Infinite loops after rewinding, quick flashes to black, big quality variations, and one total crash. There is no preview pane when fast forwading or rewinding. I have stable high speed fibre.","October 21, 2019",2
Shanan Garton,Terrible coverage. Fuzzy images. Have to restart my phone everytime I want to use. If I had a choice I would never use again!,"October 19, 2019",1
Master Artisan,"By far the worst stream service ever launched, the app may be free but the service isn't, customer support is a joke. I it IMPOSSIBLE to delete your account, be warned","November 19, 2019",1
Braden Scott,"Pretty good. It would be nice if events showed the actual start time alongside the coverage start time. Maybe a download mode, like Netflix, so I can rewatch the rugby when I'm not on WiFi.","September 28, 2019",4
Kevin healy,App is useless. Save ur money. Keeps buffering and has made my phone slow. Not happy and of course spark don't care typical. Looks like I'll be watchin all the world cup in the pub,"September 22, 2019",1
Anthony Earl,"Good price and content, gets a bad rap from some but I have had very clear pictures and the content is top notch. Love the commentators for the rugby world cup","October 6, 2019",4
Alvin Harber,I am watching the rugby on smartvu and it keeps on laghing after a while. I then need to close the app and go back in for it to work ok for the next 20-30 minutes,"September 21, 2019",1
Mitchell Choat,Sooooo pissed off. I've watched every world cup and have for multiple sky accounts for my family to watch sports. Now you tell me I have to listen to delayed commentary and pay stupid amount for watching. How about F off spark. Always been useless so no wonder they muck it up!,"October 6, 2019",1
A Hamilton,"Useless. Only works on one phone. Stops playing half way through and claims I'm not in NZ. Won't play from the start of a game, only live or replay. Help takes days and fixes nothing.","September 27, 2019",2
Klyster Meister,"Brilliant, F1 has never been easier to watch. I've used this app since the beginning of the season, only a few minor issues earlier on. Keep up the good work.","October 15, 2019",5
Oliver Milne,Honestly it's like your trying to stop us from watching the rugby world cup. I've been trying to set this up to cast to my tv for 2 hours but it simply doesnt work.,"October 2, 2019",1
Scott O,Have not had one problem with the app. Been watching EPL every week and do dramas at all. Chromecasts smoothly and no buffering. Great work!,"October 1, 2019",5
Darren house,Terrible if your thinking of signing up to watch premier league DONT! not had a single game yet which hasn't had issues.,"September 22, 2019",1
Andrew Graham,"Constantly pixalated, freezing/buffering and this is with Gigabit fibre. Often not watchable. Constantly pausing and rewinding to see the action.","November 3, 2019",2
Jo Mitchell,Won't play on full screen on my tablet and therefore picture is small when I cast to my tv. Fail. Update has improved matters thank you.,"September 20, 2019",3
Rebecca Currie,Doesn't work. At. All. Fanpass worked fine. If it's not broken... Don't fix it.,"September 21, 2019",1
C MacDonald,"Pay for the service and with gigabit fiber i still get lag what a joke, steer clear of wasting money on a subscription for this as it only gives you below average definition... Pay for hd get 480p, what a joke of a service","September 21, 2019",1
Axel (Alexander) Tie,Ongoing glitching issues and the helpdesk put it on the user to find the problem. Ruins the experience. Not good enough.,"October 6, 2019",1
Bryan Clements,No so good. Just continues to load on chrome cast. Spart spot logo comes up. Works good on phone but not to tv,"September 20, 2019",1
Richard,"Expensive, fuzzy, pixelated mess. Failed to deliver during the big match. Avoid if you can.","September 21, 2019",1
David Lightfoot,Clunky interface Hard to control streaming image e.g. skipping the bloody adverts and the inane pre-match and half-time waffle. Bleh!,"October 5, 2019",2
kerry stace,I wanted to watch all rugby games inWc on my free trial for 1 week ..not permitted.. total lack of preadvi ce by Spark ..needed help on phone to log in..will not use Spark sport again rate it very poor in all respects,"September 21, 2019",1
Grahame Waterman,"App wont even open just has spark sport logo and loading, then nothing changes installed on both my personal and work phone still no joy personal phone is s9+ and work phone is so 🤦‍♂️","September 17, 2019",1
GMR SQUAD,False advertising. Early bird tickets to an online app .. what on Earth? In app purchases to more in app purchases .. rubbish and a right tip off,"September 21, 2019",1
Sam Fowler,"Shambolic RWC coverage. Skipping, wrong commentary, playing replays over the match. Bring back Sky!","September 29, 2019",1
Scott Stowers,"Average, 80+ download speed verified & ain't no HD playback. Although they'll say its setup issues. Sky go live sooo much better","October 8, 2019",1
Chris Westbury,"On a Samsung Galaxy tab s, trying to watch nz v sa replay. frozen screen with sound then the time it did work, no ability to pause","September 22, 2019",2
Simon Davies,Useless . Can't watch anything live on the TV app. Brand new Samsung tv . Just a shithouse experience.,"October 13, 2019",1
Phil Watson,Intermittent loss of sound and picture freeze. Hopefully updates will solve problem.,"September 9, 2019",3
Matt Elvin,Good initiative but just missed a try by a Wales as the signal froze and the screen pixallated...for ages. Time to move play to Duke Spark,"September 29, 2019",3
Kobe Maui,I still carnt believe they are pushing this app. The amount of emails I have sent only to be told we carnt help you..,"September 22, 2019",1
Steven C,Really impressed with the experience so far. RWC2019 AB/RSA no issues with connectivity. Well done Spark!,"September 22, 2019",5
nigel saunders,Experience so far on Chromecast Ultra has been excellent! Very good quality and no issues encountered.,"September 30, 2019",5
Albert Marais,The app is rather unintuitive. Difficult to navigate and the player is super basic,"September 11, 2019",2
Wayne Sloane,Really good so far. But I only got it for the RWC and it hasn't started yet.,"September 15, 2019",4
michael cross,Brought it for the world cup works perfect chrome casted to the tv no problems. Good work,"September 22, 2019",5
AJ Joseph,"Poor streaming on high speed Internet, payed for RWC and can't even watch it properly","September 22, 2019",1
Rosina Marie,Uploaded this app..but it won't even work . Let alone watchRWC. Hate spark so much!,"October 20, 2019",1
Krishan Sharma,Chromecast button not showing. What's the point in getting subscription if I can't Chromecast to TV,"September 21, 2019",1
Jamie Crawley,Great app. Works way more reliably than Sky Fan Pass.,"September 28, 2019",5
T Goldsmith,What a joke. Trying to watch aussie game. Nup. Sound is rooted,"October 19, 2019",1
Fraser Honey,"Complete rubbish, like every aspect of your coverage of this world cup.","October 6, 2019",1
Damien Bolger,"A multitude of issues, getting worse by the week.","October 18, 2019",2
Andrew Callander,"Should be compatible on all smart tvs, especially ones you've purchased in 2019","September 20, 2019",1
Denise Te Momo,Easy to use and cast to tv. Brilliant,"October 9, 2019",5
Shaun Newsome,"Works great, love the on-demand feature.","September 21, 2019",5
Jase myers,Its still not showing quality pictures all the time,"October 8, 2019",2
DIMEBAGDAZZA gaming,Works amazing no problems anywhere streams great much better then sky,"September 14, 2019",5
Its Kram,"Can't get the app to recognise Chromecast. Which makes it useless. Multiple other apps on my devices work, but not sparksport. Yes, there're on the same network. The help suggests trying to stream with a browser, but sparksport (under the browser) doesn't let you stream. I'm being charged for a serv...Full Review","September 20, 2019",1
Barrie D johnstone,"Since starting premier league this season have not had 1 game with out interruption, games want to watch frustrating, never complain but want to watch games with out fiddling with app, then get told I'm using to many devices, so much to sort out and not worth money.","November 3, 2019",2
Justin Wylie,"Update 4: fullscreen and UI bugs seemed to be fixed now, quality of stream with all setting max'ed out (dedicated fibre connection too) via chromecast ultra is average. Sports needs to have high frame rate and clarity for panning and detail...sparc sport is not there and RWC is almost here. PR has b...Full Review","September 9, 2019",2
erana reedy,I paid for the tournament pass and so far have only been able to watch 1 game. I want a refund.,"September 23, 2019",1
David Clark,Completely Frooze and Livechat on the website were useless. For what you pay for this service it's a joke,"October 2, 2019",1
Abdullah Muhammad,Absolutely horrible service. Expect constant problems.,"September 23, 2019",1
Keiran mcmillan,downloaded this app after getting rugby world cup subscription from spark. The app won't recognize that I have subscription. subscription works fine on other devices. Pretty poor from NZ leading telecom/broadband and Mobil provider. app deleted.,"September 6, 2019",1
Hamish Carnie,"After spending 2 weeks getting all the tech to work including having to buy Chromecast, it's watsed hours of my time. It worked ok direct on my phone for first 7 day trial. But to get it onto my modern 55"" TV  and using chromecast I now have found it's totally stuutering, low quality, delayed pictur...Full Review","August 16, 2019",1
Barry Templeton,"App shows video some of the time while most times just shows still picture with audio running. Can stream Netflix, tv on demand and others no problem. If doesn't get sorted out soon I'll be cancelling my subscription.","September 3, 2019",2
Craig Brown,"Hands down, the worst casting app I have ever used. If it isn't constantly buffering it's changing the resolution dynamically to 480. And there is nothing wrong with my Wi-Fi as I am always casting movies from Google play and from web browsers. If I try to use the skip forward 10 seconds button at a...Full Review","August 18, 2019",1
Karan Toor,"It doesn't let me start my subscription. I keep on getting an error saying ""Invalid Credit Card"". I have tried 2 cards now both of which work on other websites. If you cannot get a basic form working I wonder how you are going to stream games. Now I am pretty sure I am going to miss the opening game...Full Review","August 9, 2019",1
Niall McAndrew,Finding things can be hard and the stream quality has got worse since launch. Also Spark are not willing to offer any kind of discount or good faith for the current issues. Even given the leeway I game them at launch with all the audio and stream issues. Currently I wish Sky still had the rights. Mo...Full Review,"August 13, 2019",1
Aaron Smith,Had this app since the start. Still freezes and has picture quality drop out all the time. Not acceptable for a pay to use app. Only app I have that does it so the fault is with this app. Give it back to sky until you can guarantee quality. Am pleased I won't be paying extra for the rugby. Spark obv...Full Review,"July 28, 2019",1
Rene Vaughan,"The worst streaming quality ever. it's just the worst quality with constant buffering. No it's not my internet connection, all other streaming services work fine. The interface on the app is cumbersome to use, advancing or reversing in time is difficult especially in small increments. overall unimpr...Full Review","July 21, 2019",1
Thomas Morrisey,"One of the worst video players I have ever used. Will run at inconsistent speeds, stutter and switch quality constantly, this is made worse by the fact you can't manually set the quality to try and fix it. Also has a terrible habit of just freezing for long periods while the match and audio is still...Full Review","September 1, 2019",1
Kieron Henare,"When casting, constant lag of video, very low quality steam with constant pixelation, barely watchable, even with my high speed 200 fiber connection. midway through watching delayed coverage and it crashes. Open app again to resume watching only to find the event that has just finished live is not a...Full Review","August 10, 2019",1
Sam Bueno,"Its a premature app. Bad quality Bad connecitivity Bad layout Bad coverage Bad performance Only reason i have this app is because theres no other way to watch English Premier League in NZ. Its a sport that lasts 90 minutes. And if your viewers have to dicinnect and reconnect every 10 seconds, still ...Full Review","August 18, 2019",2
Greg Backhouse,Like many others I find this whole thing useless and a total waste of my time. I cannot get it on my Smart TV. I have tried mirroring from my Galaxy phone and its jumpy and unwatchable. I bought a TV box - same issues with buffering and hdmi problems. My Wifi is fine. I'm resigned to the fact I will...Full Review,"August 28, 2019",1
Aaron Guise,Overall easy to use but there is no search function so you just have to keep scrolling until you find what you want to watch. A watch later function or saved/favorite shows option would be good too.,"September 6, 2019",3
Andrew Coombe,Great app to keep up with the play,"November 15, 2019",5
Ben Hewett-long,Updated Review: After seeing confirmation that Spark Sport will be cutting the framerate to 25/30fps for all users has completely put me off this service - Sports content neede the highest possible framerate to look smooth and play nicely without looking like a bloody mess especially when the Premie...Full Review,"August 9, 2019",2
C M,Started to watch a video before having to do something else. Came back to a video that wouldn't play and no other video will play at all now. I bought this for the RWC2019 so this app better be fixed before then,"September 3, 2019",4
Dan Mason,"Really poor quality stream, picture breaking up every 30 seconds. This has to improve or the streaming of the RWC and EPL is going to be a disaster Update: stream has completely gone down now while trying to watch Arsenal vs Burnley. I am on 100mbps fibre broadband. No excuses extremely poor, don't ...Full Review","August 18, 2019",1
Warren Cameron,Just started crashing after reinstalling.,"September 28, 2019",1
stuart hutchison,"Fantastic app, I use it to watch EPL and F1 on demand and it is just perfect. I dont have fibre so was concerned having read all the negative reviews glad I ignored it all, this app rocks, worth every dollar, would gladly pay more. No buffering, excellent quality, on demand what more could you want ...Full Review","August 14, 2019",5
Christo van der Berg,Absolute waste of time and money. Bought a RWC pass but I am unable to install the app on my Samsung smart tv. Bought an Android TV box but it won't stream on there either. Useless app!,"September 6, 2019",1
Reggie Campbell,"The app worked perfectly during the Japan vs South Africa rugby game. Both picture and sound quality was great, there were no issues here. Thanks!","September 7, 2019",5
David Nelson,Once I connected to chrome cast the games all on,"September 21, 2019",5
Matthew Hodgman,"Tried to watch the Liverpool game this morning but it was buffering 90% of the time with only occasional bursts of playing. I checked my other streaming apps like YouTube and Netflix, which were both fine, so its not an Internet issue.","August 10, 2019",1
Danie Du Plessis,"Improving with every update. Live or on demand replays, especially usefull when matches/races happen at unwatchable times, love it! F1 offering is excellent. Can't wait for more sport offerings to be added, would love to have MotoGP as well","September 6, 2019",5
Pete Paul,I use the web browser on my LG smart TV which is connected via ethernet so I dont have the lag issues others complain about. if you conmect that way it works fine. Dont bother with wifi and chromecast it will always lag. I hope they do an app for LG smart TV soon but browser is fine for now on your ...Full Review,"August 18, 2019",4
ross johnson,"Purchased a ""Smart VU"" box with Spark Sport app pre installed. Worked well from the start. Two app updates over the last two weeks and no issues. Friday warm-up game played perfectly.","September 9, 2019",5
A Google user,App hasn't worked since week one of the premier league. Re-installed multiple times and still nothing.Contacted customer service and didn't even get a reply. Missed best part of 3 weeks of football now. Unnacceptable from a service provider.,"September 1, 2019",1
TheAcdcnz,Often won't load. Typical nz,"September 21, 2019",1
Paul Harper,"Very poor. I have BeIN sports app on my phone which, being English, I used to keep up to date with all the UK football highlights. I noticed yesterday that no premier league stuff was available on BeIN, and realised spark now have the broadcasting rights, so I decided to sign up for this and keep Be...Full Review","August 11, 2019",2
David Slough,"I am so frustrated with SparkSport as buffering problems spoil the viewing and their support is lamentable never responding to any points raised. Where as Spark support, Hp support and the retailer have all been very helpful, everything points back to SS as no other issues streaming","August 23, 2019",1
Nico Zandberg,not designed with sports fans in mind. Badly laid out and hard to distinguish between live and old content. no highlights. and not cutting out breaks in broadcast or the starting soon screen in replays,"August 14, 2019",2
U. Jnr,Game not showing up on my tv,"November 2, 2019",3
Oli Moss,Am I supposed to cope with a whole season of this? buffering and poor quality. The flashing is going so bad and constant the games are unwatchable. $20 a month for poor quality.,"August 11, 2019",1
Samantha Collins,Glitches and a waste of money,"September 30, 2019",1
Geoff Weatherall,"Keeps telling me I need to ""buy now"" RWC2019 but when I sign in on website it shows I already have purchased it. Hopefully it's more than a marketing tool when the games start.","August 7, 2019",1
