username,comment,date,rating
Andrew Parnell,Works over chromecast well but not on my phone. Video begins and then seems to load or video stutters. Unwatchable.,"September 2, 2019",2
Eric Bell,"Get a grip Spark, you charged enough for the rugby pass now stop it dropping out.","September 21, 2019",3
Will Clark,this app works fine on mobile phone but when trying to cast rwc archive footage to android TV it just freezes and refuses to play after a few seconds. fills me with dread ahead of world cup,"August 9, 2019",1
Joshua Hacker,"Ridiculous. Doesnt offer what is promised. Buggy, glitches, currently waiting for broadcasting to be viewable again after waiting over 10minutes for the second time this match","August 18, 2019",1
G Scoones,Chromecast icon has disappeared...grrrr,"September 16, 2019",2
Clive Pryor,Working superbly. F1 and EPL without a hitch. Phone or fibre and Chromecast without a problem.,"September 4, 2019",5
Rob Cuthbert,Terrible. Ripping off nz with your cheap streaming,"September 22, 2019",1
Kevin Chen,Inconsistent lag during streaming of the Rwc2019,"November 6, 2019",3
jeremy 10030,"it worsk sometimes then crashes, sound but frozen picture. not sure what is going to happen come world cup.","July 22, 2019",1
Im Riggy,"freezing, quality goes from good to poor every couple of minutes. good thing I was only on the free trial","August 11, 2019",1
Nick Williams,"Just downloaded, doesn't seem to work.","September 20, 2019",1
Josh Ryan,Hate it. Wish they never got the rights for premier league. No pre match or post match reaction. Terrible signal. Terrible.,"September 1, 2019",1
Joel Beatty,You guys are useless always cutting out canr watch one epl match without it cutting out,"September 14, 2019",1
Patrick Carroll,The smart tv app is terrible. Constant buffering trying to watch the football which is intolerable. Why aren't we offered at least a discount for this rubbish?,"August 18, 2019",1
Pravanjan Panda,"Needs wholesome improvement. You cannot just bring up a message while live streaming stating the stream is offline. You being the sole broadcaster of EPL in NZ, thats really poor.","August 18, 2019",3
Daniel Brosnan,"Cant sign up, cant watch the advertised one fc card.. rubbish. Exactly what i have come to expect from spark.","August 3, 2019",1
Ben Thornton,Rubbish. I have sparks top internet plan and can't get past a loading sign... Get the app sorted before winning big sport contacts like EPL & F1,"August 12, 2019",1
Sam McQueen,"Terrible streaming service, constant buffering and streams not loading, nowhere near my money's worth.","August 10, 2019",1
BKJBE Live,Sometimes interferences occur but as long as I can watch every Football league and cup it's worth it this is better than other providers of these services.💯,"August 24, 2019",5
Eliot Brown,doesn't work. you have to use your computer as this will not allow you to cast to a tv,"August 12, 2019",1
krishneel singh,Tried to change my password... page wouldn't load. Missed the game I wanted to watch trying to change my password.. absolute joke 👎,"September 1, 2019",1
Mark McKeown,I open the app and it's just stuck on the loading screen forever.,"August 24, 2019",1
Andrew Melles,"New version of app works well, only issue is trying to get through add breaks, without losing to much content","August 4, 2019",3
Aidan Scully,Absolute rubbish locks up all my apps every time i use this,"September 29, 2019",1
BILL Lowe,Why is the commentary missing on some. of the football highlights games?,"August 20, 2019",3
Humphrey Catchpole,I'm giving up on trying to sign up for a 7 day trial despite asking by email and live chat. Email promised reply but it didn't happen.,"August 31, 2019",1
Catherine Ma,GREAT VALUE. LOVE IT. VERY USEFUL APP FROM SPARK,"October 8, 2019",5
iamgimbo,"works great, just need a search field and the ability to favourite my teams and then its ⭐⭐⭐⭐⭐","July 31, 2019",4
Edwin Kasonga,poor streaming quality. Cant even watch highlights without constant buffering,"August 11, 2019",1
Stephen Lee,"great quality, UI could be a bit more intuitive","July 26, 2019",5
Swapnil Solanki,suddenly get an error while watching a match live.,"August 18, 2019",2
Trevor Melind,Great App! Great streaming!,"October 8, 2019",5
angela garbutt,very slow heaps of problems getting logged in i gave up,"July 29, 2019",1
Susie Hofmans,"I have Purchased the RWC Pass but when I try to watch it, it Tells me to purchase Pass?","September 23, 2019",1
Henry Williams,Lagging and cuts out,"September 20, 2019",1
Dewendra Singh,Very poor video quality even on a 4K Android box / 4K TV !!,"August 12, 2019",1
Mike Woods,Worked perfectly every time,"September 28, 2019",5
Garry Chapman,Stuck on splash screen. Galaxy J,"September 8, 2019",1
Michael Jones,Terrible for football. unwatchable. Ruined EPL,"August 18, 2019",1
Chris Tredinnick,Seems our largest ISP doesn't have the infrastructure to support everyone who wants to watch the world cup. 85% there.,"September 21, 2019",4
chris nairn,Until there is an app for every Android Tv and not just your strategic partners this is pointless. Just tell us when your obligations will end so we at least know when to expect it.........,"August 15, 2019",1
Barry Jones,I have enjoyed watching Spark Sport.The rugby was good without a hitch.My wife enjoys the tennis so it's a go from us. We do find your programming a bit confusing at times but that's us.We are not young and so got our kids to set us up.Great no worries and we are enjoying the presentation. Cheers JO...Full Review,"November 19, 2019",5
Graeme Hunn,Rubbish app does not play any free trial sport that is worth watching so will not be subscribing to this.,"September 1, 2019",1
Jerry Nettleton,Please fix 'view from start'!,"July 17, 2019",4
sam hill,I have not had any issues with the app,"October 16, 2019",5
Nick Uren,Currently ruining the Premier League with their inability to keep a stream running,"August 18, 2019",1
Bil d,Struggling to work the app. Iv subscribed yet the app won't let me view content,"July 31, 2019",1
Carl Rayner,A bit tired of testing apps I pay for. Beta should mean free until it's no longer beta. I'm kinda paying Spark to report bugs. I get Agile and Devops but to iterate doesn't mean get your paying users to test it. That's what paid testers are for. Come on guys...update Sunday 9 June. Service crashed (...Full Review,"June 9, 2019",1
Grant McLean,A functional but uninspiring app. I watched a game via Chromecast and experienced frequent stuttering in the video and audio (on a high speed fibre connection at off peak hour and good wifi). I would have liked to back up and check if the stuttering was part of the original media but the back button...Full Review,"June 29, 2019",3
Poop Mooch,"If you select play from the start on a live event that has already started it ignores your selection starts playing live. Almost ruined the result of the latest Grand Prix for me, if it happened during the RWC final I'm pretty sure the world would literally end. Also app in general is hard to naviga...Full Review","June 21, 2019",2
Petr Faitl,"Confusing and illogical feed for recent or live events. Very disappointing Wimbledon 2019 experience. Coverage for live events okay, but add they happen overnight one would expect prompt on demand recordings. But these especially in the second week slow to come or not coming at all. Where's the doub...Full Review","July 14, 2019",2
Rob Brown,"Casting doesn't work. Come on Spark, don't screw this up... You've had a long time to prepare and there's no excuse for your app to be missing basic functionality.","September 20, 2019",2
Jeff McDonald,"As usual with a kiwi designed system, full of bugs, and then once you get everything setup, which took cicra 30min, there is sfa content to watch. Only hockey and fighting. Everything else is some relay or highlight. Don't launch something if its not finished and ready for the public.","July 13, 2019",1
Tracy Tovi Nguyen,Can't even download it the second time round after having to reinstall it. And it keeps telling me a I'm streaming it on too MANY DECIVES. Are you kidding me?!.,"September 29, 2019",1
Chris Dell,"Mostly works well, but sometimes the app won't show the time and therefore I cannot fast forward. Also, most programmes have between 15 and 30 minutes of blank screen at the start of them which is frustrating and pointless","June 25, 2019",3
Bruce Hadley,Just installed the app after having purchased the RWC2019 pass. Despite being a paid member the app doesn't recognise that.. Keeps telling me to go to website and buy subscription. Hoping to get this resolved before the tournament starts.. Get your act together SPARK!,"June 18, 2019",1
Steve Pullman,"No problems running the app, streaming to a chromecast. Great live picture but lower resolution when watching replays of RWC.","October 15, 2019",5
Cole Smith,The app need alot of work especially the player itself. would be really good to see some sort of notification option for each different sport to notify when new videos are up and when lice events are streaming,"July 14, 2019",2
Ezra Curd,Finally someone comes along to challenge Sky and all the old folk who can't get apps to work rate it one star and complain. Been using Spark since they launched and ZERO issues. Fantastic service and app.,"July 13, 2019",5
John Lennon,"Been using this app since the beginning, a few glitches here and there, but they have listened and the app runs great, casting, and on devices. Keep up the good work, and bring on more motorsport :-)","June 30, 2019",5
Gordon S,"Unreliable, unprofessional, flakey and the streams provided are usually unrefined with long original-broadcaster signal gaps.. very poor for a free service let alone a pay service! Come on Spark - pull your fingers out!","June 9, 2019",1
Holika Uhila,Quality and stream good so far,"September 22, 2019",5
Gene W,"Am still in the free trial period, and not sure I'll continue to the paid app. Only downloaded to watch F1 after Sky Sport NZ dropped it. USER BEWARE! If a F1 race is still on and you select 'Start From Beginning' It will take you directly to the live race wherever it's up to. A great way to ruin a ...Full Review","April 14, 2019",2
Brendon Caskey,"Some Android feedback, when in full screen mode you can't move the video forward or back, super annoying to have to leave full screen mode to do this (for highlights etc). Also, can you allow the app to work in the background so that when you have to change apps on your phone (to text or Google some...Full Review","March 17, 2019",3
Mohammed K,nice app. would have been a few stars extra if you made it more user friendly. and potentially give users options to set reminders on future shows/matches etc,"July 15, 2019",3
Robin Parsons,"Granted this is in beta, but nonetheless it is a terribly designed app. Really poor navigation, no navigable schedule or calendar other than a few 'whats on' items on the home screen. navigating by sport only shows what has been on, not whats upcoming. Extremely light on features. And that's just my...Full Review","March 30, 2019",2
Jarrod White,"When you sign up, the Welcome screen only has a link to the Apple App Store despite being on an Android phone - no Play Store link.  For the player, It would be nice if there was a quality option in the player so you could drop the quality if streaming over mobile to save on mobile data....an audio ...Full Review","April 27, 2019",3
Ben Wickens,Well it plays the F1 on my phone but every like 5 mins it'll come up with this error clock it also cuts the bottom of the screen so you can't see the drivers current time and also in fullscreen mode you can't skip forward or back you have to close the video then re open it. Very poorly designed app....Full Review,"March 30, 2019",1
Howard Gaukrodger,"Sadly, I couldn't get this app to work. Already at the installation stage, I had problems. App said ""Installed"", but it wasn't on phone. Reinstalled. Logged in. Had to wait for video carousel to display what i wanted to view - I couldn't see a menu selection. Clicked on the ""Watch now"" button in the...Full Review","May 14, 2019",1
Brett Cox,"What happened to the promised Android TV app in mid-June? This app just isn't delivering, which is quite shocking for a paid service!","July 3, 2019",1
Rod Olive,im a F1 fan and im pleased that you are using sky coverage but the quality of the transmission is awful. like its taken on a 2 megapixel cell phone and broadcast. please convince me its going to be full hd. the times and race position was not readable. i checked my fibre broadband on other channels ...Full Review,"April 1, 2019",2
Jamey Stephens,Brilliant app. Love it,"October 15, 2019",5
A Google user,Edit: Had installed update and found it much much better. It has only dropped out once or twice since but picked up again after a restart. Happy enough with it. ‐---------------------------------------- Utter rubbish. Installed as a trial but unless it gets better fast I won't be subscribing. Consta...Full Review,"May 17, 2019",4
Peter Goldsmith,"Despite what others say, I find this app is good. F1 is what I watch and I find the coverage about the same as Sky .","July 22, 2019",4
Lucid Fish,"Unrefined and buggy. Stops video playing in other apps until spark sports is closed. Bottom of image doesn't display on screen so you miss data. Tried to find F2 replay to watch but I can't find it, no search option beyond choosing sport and no link for F2. Pretty disappointed, won't be using beyond...Full Review","March 31, 2019",2
Kiwi Bob NZ,poorly written minimalistic features unstable and crashes. weekend just gone May 13th Formula 1. app crashed 4 times stream disconnected twice. you're a clock error twice had to restart everything all spark could offer me was only a free month. no other resolution they have kidnapped something I lov...Full Review,"May 13, 2019",1
Luke,"Very impressed with Spark Sport so far. The Formula 1 seems to be broadcast in 1080p50fps which was unexpected to say the least since SkyGo only broadcasts 720p30fps to my knowledge. Spark Sport offers a much cheaper alternative to Sky, and with Spark gaining the the rights to the 2019/20 Premier Le...Full Review","March 16, 2019",5
Simon Green,"At least when Sky had the rights, they didn't charge extra just to watch the Rugby World Cup","June 12, 2019",1
Barry Whyte,doesnt cast to TV unless you have a chrome cast. have to use screen sharing then it cuts off the bottom of the screen... content not available 2 days after the race... poor poor service for $20 a month. too many teething problems and not ready for prime time use,"April 16, 2019",1
Anthony Smith,"Great app, seems to work mint so far, awesome video quality and loads super quick. A few small things like switching from portrait to landscape blacks out the picture until I toggle full screen, also a bit hungry on the battery compare to the netflix app, but since it's only been out a short while I...Full Review","March 14, 2019",5
Brano Petríček,"Navigation very basic, content very limited for the price.. lots of potential for improvement though.. Update : this app won't let u fast forward / seek in full screen view, only in portrait mode (galaxy s9). freeware from 10 years ago could do that, spark wake up ! :(","April 19, 2019",1
Bruce Westland,disapointing that you not supporting older tv sets for your app only last couple years.you would get more members if you have more range on what is compatible.,"June 13, 2019",3
Jimmy0770,"Absolute lying little crumbs. They've let NZ down with their poor service from the RWC. Denial and refusal to play the games on TV when thwy know they have issues. All to save face and not have to fork out money. Sad. Real sad. You get a zero from me, Spark","October 15, 2019",1
D J Gabriel,"Seriously poor app that works occasionally Yes, much better performance, no issues with app since last update. Very happy now.","June 12, 2019",4
Michael Laurie,"I can't see an option to cast it from my phone to the TV. This app needs chromecast ASAP. If not, me and thousands more wont use it. I don't want to watch sports on my 5inch phone. I'm not going to buy a smart TV because of this.","March 15, 2019",1
Peter Brown,"The ""cast"" icon is not showing on my app or my friends app. Spark need to fix basic stuff like this. I had to cast from my pc to our TV to watch. Also even with high speed internet the feed for F1 was average due to intermittent screen freeze every five ir so seconds.","March 16, 2019",1
Graham Carter,"probably more to do with Spark than the app. they don't trim the rubbish of the programs, casting from Start during race fails goes instead to live and annoyingly kills the anticipation. lots of jerky stopping and starting. don't even try it on 2.4ghz. very unprofessional.","May 13, 2019",1
Bogdan Nita,"Good little app, does what it says - works for me every time. I currently use it with a Chromecast - can't wait for the Sony version.","June 8, 2019",5
Y Slyde,When are you going to publish the app on the Google play store for TV. It is a streaming app. It is just a tick box in the Google play store app publishing. The UI is basic enough to function.,"June 3, 2019",2
Ed Haszard Morris,"Fine when watching on a device, super glitchy via chromecast. Tried watching an event (F1) from the beginning while it was still live, was ok in the app but on chromecast it kept taking me back to live coverage. You gotta fix this to keep this subscriber!","March 17, 2019",3
Nathan M,tried to watch a live race that started at 11pm. coverage started on the 12th lap. the first few laps are what you want to see as a racing fan. for 20 dollars a month the service has to be better than the free illegal streaming alternatives.,"March 30, 2019",1
KiwiGAT58,"thanks, its working better now, Still not fully clear when programs are ready to be watched. ..I'm using it on a Samsung tablet, chromecast to our TV, the sound is coming through the tablet not the TV...there is also a 3-4 second delay in the sound.....","May 16, 2019",3
Ryan White,low frame rate mess,"August 10, 2019",1
Dave MacIver,Currently watching ABs game. Froze and lagged 5 times in the first half.,"September 21, 2019",1
Scott Twiname,"Can't find what I'm looking for most of the time. That's generally because it's not there, when it should be. Image is cropped to fit the screen and cuts off half the on screen info with f1","March 31, 2019",2
jon baker,"apalling app, click on "" watch from start"" and it takes you straight to the live action, try to go back and it freezes. they have no idea what there doing, ruined both qualifying and grand prix. watch on deman my arse, just another corporate who dont care...","March 17, 2019",1
Marc Colliss,"Pretty good first impression. Glitch where it said I had be logged in to watch an F1 video but I already was. Seems responsive, quick and good quality video. Keep it up.","March 14, 2019",4
Paul Schofield,"Once i got the app to work after continuous DRM license issues, the quality was terrible. not worth the $20 a month. i also initially had sound from both the TV via the Chromecast, and also slightly delayed from my phone.","April 1, 2019",1
David Gladstone,Does the job. Previous issues with full screen mode have now been fixed. Still have one or two issues starting streams but this version is an improvement on the first release. Keep it up.,"April 28, 2019",4
Richard Warlow,"Found the app, simple and easy to use, works well with Chromecast.","June 13, 2019",5
Steve Tenix,The app is rubbish. Come on Spark. Can't cast. You've cornered the rugby world cup. If you don't sort this you'll ruin it.,"May 11, 2019",1
A Google user,"Utter rubbish,keeps telling me I have a full account but when I try to play the Formula One it tells me my subscription won't allow access , shame Spark now have the F1 as Im a avid fan, start of the season ruined,well done Spark 😠","March 17, 2019",1
Luke Backhouse,no the app is new but i cant here the cars in the back ground on formula 1 i can just here the commentators talking. Really nice video quality and ondemand feature to watch the f1 practice from the start.,"March 15, 2019",4
hennyvv,It won't let me log in!,"September 20, 2019",1
Kirsten Smith,Quality of video exceptionally variable and very frustrating. If I could watch the FIH Pro League anywhere else I would. NOT worth the money for the terrible quality.,"March 17, 2019",1
Glenn Jefferies,"Doesn't work properly. Made an account, logged in and when I went to watch a game and said I needed to subscribe to spark sport even though I already have one","March 30, 2019",1
A Google user,Intermittent at best. Content is good but Chromecast functionality leaves a lot to be desired. Resume feature doesn't appear to work on Chromecast and randomly freezes up from time to time,"March 31, 2019",2
A Google user,"Does not work on my android device! months on and app works sometimes, still terrible, if there was an alternative way to watch F1 I would not be using this app.","May 27, 2019",1
Dean van Wyngaardt,"no search function? Monaco fp3 is live right now but you don't have it playing? desktop ans app is messy, like old races mixed with new, f2 and f3 races with f1.. come on guys its already half the season and the app is still useless","May 25, 2019",1
Brendon Bushett,it lets me install it but everytime i open it i get asked to reinstall it. Frustrating,"September 10, 2019",1
Thurlow Thompson,content streams with good quality but really needs a proper tv guide to understand what will be shown live at what time. user interface is pretty clunky,"April 17, 2019",2
Norah Alani,"App doesn't even download, and on a different phone it doesn't caste to TV.","September 21, 2019",1
Alex Manton,Just doesn't work properly,"September 3, 2019",1
Geoff Reid,Not bad got first time round.,"September 23, 2019",4
A Google user,"UPDATE: Yes app, seems to work much better now with chromecasts Has issues connecting to Chromecast and will not play. Otherwise seems to play okay on the phone","May 16, 2019",5
Thomas Prinsloo,"Weak playback controls, DRM issues, streaming / buffering laggy, resolution on mobile cuts off, poor app layout... At $20pm you'd expect more than this.","April 28, 2019",1
Pete Littlewood,"Totally useless.. Wasted 40 bucks on 2 months subscription, haven't seen a single piece of moving footage yet. Either on app or pc.","April 28, 2019",1
Merc Opti,This app is terrible needs a lot of work,"August 4, 2019",1
pepper jack,I like it! I've had no problems so far. Girlfriend hates it... 😐,"August 29, 2019",5
Alistair Thomson,"Downloaded and watched the '95 Semi against England. Worked fine, maxxed on my 4K screen without glitches. Bring on the RWC!","May 31, 2019",4
A Google user,No option for full screen mode? Still cuts off bottom of screen so you can't see the scores. 🤦‍♂️ Very limited live content.,"March 28, 2019",1
Dylan F,App works alot better than first started. just want a good fast forward button for the replays.,"May 16, 2019",3
Mangesh,I am watching FP2 on TVNZ and not on the Spark app . No car sounds there (very dull). You need to fix the sound mixing on that feed.,"March 15, 2019",2
Raoul Ralli,"Horrible experience, nothing loads on app or web. Why'd you have to take it off SKY only to ruin our Formula 1 experience?","April 1, 2019",1
Nik Lowndes,doesnt show current shows (whats on) on my device works fine on apple device,"July 13, 2019",1
ga701ggte,"THE WORST APP. UTTERLY APPAULING, ENDLESS BUFFERING AND LAG, IMPOSSIBLE TO USE. THE DEVELOPERS SHOULD BE VICIOUSLY BEATEN. FLAT OUT DOES NOT WORK, PRETTY SURE THEY JUST SLAPPED A BETA TAG ON THE APP KNOWING THAT IT IS RUBBISH. AVOID AVOID AVOID!","April 29, 2019",1
A Google user,"A great start! Will be nice to be able to download, to stream offline","March 17, 2019",5
Nath & Trace Church,"Great app. Works really well. Doesn't give spoilers, well done.","March 31, 2019",5
Gordon Mitchell,To many problems with this app Would have thought would have been fixed before start charging Also difficult to cancel,"May 6, 2019",1
Nicola Cropper,"love the app in general, but since updating yesterday I can no longer cast to my TV.","April 12, 2019",2
Michael Bonner,"For a sport channel it hasn't got much sport , it hasn't even got rugby,","March 15, 2019",3
KarynTrevor Roe,"got it to watch the f1 thank spark , worked great on phone and laptop very easy to set up , cheaper than sky","April 13, 2019",5
warrick smith,cuts feed halfway through. worse than sky go app. Very poor compared to international options,"April 1, 2019",1
Jakey B,"Works fine with chromcast, just need to sort out the screen when on mobile","March 19, 2019",4
Paul Jackson,Any stream interruption is worth zero stars,"August 18, 2019",1
sara okeefe,terrible app. constantly interrupts veiwing. will be cancelling subscription and uninstalling.,"April 10, 2019",1
Kiwi Aroha,Terrible idea to only be able to stream the AB games live,"September 21, 2019",1
Michael Tau,Trash live more like delayed coverage especially the NBA tried to watch the playoffs couldn't watch it live waste of $19,"May 11, 2019",1
Alessandro Forzani,Is ANYONE at SPARK watching their own transmission???? WHAT'S WITH ALL THE LAGGING ITS BEEN WEEKS OF UNWATCHABLE VIEWING!!!! I only paid for fibre install with Spark because they promised a full service that would match or better SKY SPORT! GET YOUR ACT TOGETHER. HONOUR YOUR COMMITMENT!,"August 31, 2019",1
A Google user,"crashes with ""source error"" constantly.. unwatchable... annoying","March 31, 2019",1
Kiwi Overtkill,so far so good if f1 works I will change to 5 stars once get an android TV and xbox one support.,"May 16, 2019",4
George Langridge,"Stable, just works.","July 26, 2019",5
shona clifford,why does it not show that I have purchased the package already if I have logged on. it is asking me to purchase it again.,"May 24, 2019",1
Liam February,a broken app that costs money..,"August 18, 2019",1
Theuns van Wyk,Like dead sparkplug no spark at all,"October 19, 2019",1
Jamie Fraser,a jumbled mess with no chromecasting option,"May 4, 2019",2
Dion Ross,all it does is crash shame i hope its fixed soon,"March 14, 2019",1
Eddy Thomas,The worst media outlet to be in charge of the rwc holding kiwis at hostage for wanting to support the boys in black,"October 19, 2019",1
Marius Du Toit,"A semi final and this doesn't stream, really?","October 26, 2019",1
H B,Useless remove star,"September 23, 2019",1
Derek Mewis,Thanks for the 15% off well done standing up,"September 22, 2019",5
Paul Dolley,Probably the worst streaming app I have ever used.,"April 6, 2019",1
A Google user,"Great so far, no issues at all","March 15, 2019",5
jpreader2,I won't be getting Spark Sports ever again,"October 26, 2019",1
Dan Wong,App was good. But haters gonna hate,"September 22, 2019",4
Mike Barraclough,very little content. about 5 sports how about moto gp and wsbk? certainly not worth 20 / month yet.,"May 7, 2019",3
Brad Clark,BUYER BEWARE... Spark Sport App will not cast to brand new TCL union smart tvs and a host of other smart Tv's. Spark have not negotiated the casting rights with TCL.,"August 13, 2019",1
Nichola Seymour,hard to use,"September 21, 2019",1
Nigel Garland,Has been great,"October 20, 2019",5
Akila Lokugamhewa,Pretty shite with live sports,"November 5, 2019",1
James Burke,"Worse than useless. Beyond belief that they have the audacity to actually charge for the alleged ""service"".","June 12, 2019",1
Sheryl Ashby,"absolutely dreadful, not real everyday splrt","June 20, 2019",1
Myles Greenwood,Yea i guess i would have to rate this app Good.,"September 6, 2019",5
JØSĖPH,worst streaming app I've ever used,"July 27, 2019",1
Kenneth ward,It doesnt work,"September 23, 2019",1
Marvin Bradley,Amazing it actually works!,"March 15, 2019",5
Justin Eddy,The 💩st C#nt,"September 21, 2019",1
Aaron Wildermoth,Spark sport is honestly worse than the worst disease ever.,"August 18, 2019",1
Sam Moreton,A total rip off,"November 5, 2019",1
Shane Rowland,I'd give it no stars if I could,"September 29, 2019",1
Sivaraaj Krishnan,hoping for an android tv app,"June 25, 2019",3
HiMatthew Jordan,Great hope anything work out for you,"September 7, 2019",5
Barry Jones,Not that easy,"July 28, 2019",2
A Google user,no app for android smart tv,"March 30, 2019",2
dion mortensen,uninstalled - try changing your password,"July 8, 2019",1
Craige Mackenzie,We cant even get it on my laptop!!,"September 7, 2019",1
Days Pritchard,Happy with the results,"September 16, 2019",5
Mcexz Sucks,Idiots. It's not downloading,"September 29, 2019",1
Karen Wisse,free to air?!,"July 3, 2019",1
Baby Nouata,Won't download on my phone,"September 21, 2019",1
Frank Collingwood,Doesn't install,"October 5, 2019",1
Sam Millar,well thought out app poorly executed,"May 11, 2019",1
john Turner,poor load down for F one,"April 28, 2019",2
Leapai Robert Frederick Tuiletufuga P Hunkin,Highlights,"October 7, 2019",1
Kade Stephens,Poor,"September 29, 2019",1
Lee Wilson,Hopeless,"September 28, 2019",1
Ps Jacko,Terrible,"September 30, 2019",1
Te Kani Kingi,Rubbish,"October 26, 2019",1
Ramkumar R,Awesome,"October 12, 2019",5
Maarten Wevers,Hopeless!!!,"September 18, 2019",1
Cyz Vaka,Well organised,"September 22, 2019",5
Colin Lowe,Good.,"September 21, 2019",3
Bk Sharma,Cant signup,"September 11, 2019",1
Richard Holmes,Useless,"September 10, 2019",1
Tim Hawes,Shite,"August 25, 2019",1
BennyBoy,very good,"August 10, 2019",5
SkillGame79,Works well,"July 3, 2019",5
Mike Savoy,Very cool,"July 20, 2019",5
Liam Develter,Wow.,"March 14, 2019",5
Campbell Hicks,works gret,"March 25, 2019",5
Deepak Gupta,awesome,"March 15, 2019",5
Guy Higgie,RIP off,"September 21, 2019",1
Ryno Senekal,Awesome app,"September 6, 2019",5
Ok Random,Good À,"November 26, 2019",4
